Site;Plant_type;Plant_part;Species;d13C;d13C_sd;C_cont;C_cont_sd;d15N;d15N_sd;N_cont;N_cont_sd
Maktau;C3;wood;Acacia mellifera;-26.9;0.18;43.6;0.6;3.79;0.02;0.62;0.01
Maktau;C3;leaves;Acacia sp.;-29.1;0.03;46.9;0.3;8.39;0.02;5.02;0.02
Maktau;C3;wood;Acacia sp.;-28.4;0.31;45.3;1.6;7.63;0;1.81;0.01
Maktau;C3;leaves;Combretum sp.;-29.3;0.02;32.4;0.1;8.08;0.01;2.42;0
Maktau;C3;wood;Combretum sp.;-26.8;0.04;47.15;0.85;6.72;0.03;1.37;0
Maktau;C3;leaves;Commiphora africana;-28.5;0.01;45.15;0.15;12.51;0.05;2.69;0.01
Maktau;C3;wood;Commiphora africana;-26.5;0.04;46.75;0.55;12.17;0.05;0.97;0.01
THWS;C3;leaves;Acacia tortilis;-26.7;NA;50;NA;0.39;NA;4.81;NA
THWS;C3;leaves;Acacia tortilis;-29.2;NA;47.4;NA;3.35;NA;3.65;NA
THWS;C3;wood;Acacia tortilis;-28;NA;46.4;NA;-0.16;NA;1.44;NA
THWS;C3;wood;Acacia tortilis;-28.7;NA;44.3;NA;1.89;NA;1.31;NA
THWS;C3;bark;Balanites aegyptiaca;-25.6;NA;42.1;NA;9.18;NA;1.81;NA
THWS;C3;leaves;Balanites aegyptiaca;-27.4;NA;43.7;NA;9.51;NA;2.22;NA
THWS;C3;leaves;Balanites aegyptiaca;-27.1;NA;42.1;NA;6.17;NA;2.81;NA
THWS;C3;wood;Balanites aegyptiaca;-26.5;NA;48.6;NA;3.58;NA;1.6;NA
THWS;C3;leaves;Bourreria teitensis;-27.6;NA;31.9;NA;7.85;NA;1.26;NA
THWS;C3;wood;Bourreria teitensis;-27.2;NA;45.7;NA;6.35;NA;1.14;NA
THWS;C3;leaves;Grewia bicolor;-29.2;0.02;44.45;0.35;5.17;0.02;2.49;0.01
THWS;C3;wood;Grewia bicolor;-27.3;0.07;43.45;0.35;2.07;0.02;1.03;0.01
THWS;C3;leaves;Grewia villosa;-28.1;NA;42.1;NA;5.33;NA;2.69;NA
THWS;C3;wood;Grewia villosa;-27.1;NA;43.9;NA;4.83;NA;0.88;NA
THWS;C3;bark;Salvadora persica;-26;NA;25.7;NA;4.65;NA;2.54;NA
THWS;C3;leaves;Salvadora persica;-25.3;NA;34.3;NA;7.99;NA;3.46;NA
THWS;C3;wood;Salvadora persica;-22.3;NA;44.7;NA;3.55;NA;0.85;NA
Maktau;C4;leaves;Chloris roxburghiana;-14.7;0.32;41.95;0.25;2.93;0.06;0.96;0
Maktau;C4;inflorescence;Cynodon dactylon;-13.7;0.04;42.5;0.2;6.92;0.23;1.39;0.03
Maktau;C4;leaves;Cynodon dactylon;-14.5;0;40.15;0.15;7;0.03;3.38;0.02
Maktau;C4;leaves;Cynodon dactylon;-15.1;0.25;41.1;0.4;6.66;0.04;2.13;0
Maktau;C4;inflorescence;Eragrostis superba;-13.7;0.01;43.05;0.25;6.96;0.01;1.64;0.01
Maktau;C4;leaves;Eragrostis superba;-15;0.2;44.4;0.7;6.06;0.04;1.75;0.01
Maktau;C4;leaves;Themeda triandra;-14.4;0.02;42.9;0.6;1.56;0.06;1.53;0
Maktau;C4;leaves;Unidentified grass;-14.5;0.02;41.95;0.25;5.66;0.02;1.88;0
THWS;C4;leaves;Chloris roxburghiana;-11.9;NA;40.9;NA;3.75;NA;1.47;NA
THWS;C4;leaves;Chloris roxburghiana;-13.7;NA;38.8;NA;7.69;NA;1.65;NA
THWS;C4;leaves;Chloris roxburghiana;-12.9;NA;39.8;NA;6.55;NA;1.67;NA
THWS;C4;leaves;Chloris roxburghiana;-12.9;NA;39.8;NA;5.38;NA;0.79;NA
THWS;C4;leaves;Chloris roxburghiana;-13.6;NA;39.9;NA;6.2;NA;1.06;NA
THWS;C4;leaves;Chloris roxburghiana;-14.7;NA;41.7;NA;3.7;NA;0.75;NA
THWS;C4;leaves;Chloris roxburghiana;-13.4;NA;40.1;NA;3.27;NA;0.86;NA
THWS;C4;leaves;Cynodon dactylon;-13.7;NA;39.3;NA;6.86;NA;2.13;NA
THWS;C4;leaves;Cynodon dactylon;-12.8;NA;41.5;NA;3.42;NA;0.56;NA
THWS;C4;leaves;Cynodon dactylon;-14.2;NA;40.4;NA;9.11;NA;3.09;NA
THWS;C4;leaves;Cynodon dactylon;-13.2;NA;39.3;NA;7.19;NA;1.25;NA
THWS;C4;leaves;Cynodon dactylon;-13.2;NA;40.7;NA;5.07;NA;1.16;NA
THWS;C4;leaves;Themeda triandra;-12.7;NA;40.8;NA;2.44;NA;0.59;NA
THWS;C4;leaves;Unidentified grass;-13.8;0.05;41.7;0.1;3.1;0.07;0.88;0.03
THWS;C4;leaves;Unidentified grass;-12.2;NA;38.4;NA;6.25;NA;0.9;NA
